product_name,brand_name,price,old_price,discount_percent,image_url,product_url,source_name,source_url,crawl_date,crawl_time
iPhone 16 Pro Max 256GB - Chính hãng VN/A,Apple,"29,890,000 ","34,990,000 ", 15%,https://cdn.hoanghamobile.vn/default/Uploads/2024/09/10/iphone-16-pro-sa-mac-1.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,https://hoanghamobile.com/dien-thoai/iphone-16-pro-max,Hoanghamobile,https://hoanghamobile.com,2025-11-24,16:14:51
iPhone 16 Pro 128GB - Chính hãng VN/A,Apple,"24,990,000 ","28,990,000 ", 14%,https://cdn.hoanghamobile.vn/default/Uploads/2024/09/10/iphone-16-pro-tu-nhien-1.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,https://hoanghamobile.com/dien-thoai/iphone-16-pro,Hoanghamobile,https://hoanghamobile.com,2025-11-24,16:14:51
iPhone 16 Plus 128GB - Chính hãng VN/A,Apple,"24,490,000 ","25,990,000 ", 6%,https://cdn.hoanghamobile.vn/default/Uploads/2024/09/10/ip16-xanh-luu-ly.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,https://hoanghamobile.com/dien-thoai/iphone-16-plus,Hoanghamobile,https://hoanghamobile.com,2025-11-24,16:14:51
iPhone 16 Pro Max 512GB - Chính hãng VN/A,Apple,"36,690,000 ","40,990,000 ", 10%,https://cdn.hoanghamobile.vn/default/Uploads/2024/09/10/iphone-16-pro-sa-mac-1.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,https://hoanghamobile.com/dien-thoai/iphone-16-pro-max-512gb,Hoanghamobile,https://hoanghamobile.com,2025-11-24,16:14:51
iPhone 16 256GB - Chính hãng VN/A,Apple,"24,090,000 ","25,990,000 ", 7%,https://cdn.hoanghamobile.vn/default/Uploads/2024/09/10/ip16-xanh-mong-ket.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,https://hoanghamobile.com/dien-thoai/iphone-16-256gb,Hoanghamobile,https://hoanghamobile.com,2025-11-24,16:14:51
iPhone 16 Pro 256GB - Chính hãng VN/A,Apple,"27,890,000 ","31,990,000 ", 13%,https://cdn.hoanghamobile.vn/default/Uploads/2024/09/10/iphone-16-pro-tu-nhien-1.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,https://hoanghamobile.com/dien-thoai/iphone-16-pro-256gb,Hoanghamobile,https://hoanghamobile.com,2025-11-24,16:14:51
iPhone 16 Plus 256GB - Chính hãng VN/A,Apple,"24,790,000 ","28,990,000 ", 14%,https://cdn.hoanghamobile.vn/default/Uploads/2024/09/10/ip16-xanh-luu-ly.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,https://hoanghamobile.com/dien-thoai/iphone-16-plus-256gb,Hoanghamobile,https://hoanghamobile.com,2025-11-24,16:14:51
iPhone 16 Pro 512GB - Chính hãng VN/A,Apple,"34,590,000 ","37,990,000 ", 9%,https://cdn.hoanghamobile.vn/default/Uploads/2024/09/10/iphone-16-pro-tu-nhien-1.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,https://hoanghamobile.com/dien-thoai/iphone-16-pro-512gb,Hoanghamobile,https://hoanghamobile.com,2025-11-24,16:14:51
iPhone 16 Plus 512GB - Chính hãng VN/A,Apple,"29,390,000 ","34,990,000 ", 16%,https://cdn.hoanghamobile.vn/default/Uploads/2024/09/10/ip16-xanh-luu-ly.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,https://hoanghamobile.com/dien-thoai/iphone-16-plus-512gb,Hoanghamobile,https://hoanghamobile.com,2025-11-24,16:14:51
iPhone 16 Pro Max 1TB - Chính hãng VN/A,Apple,"42,390,000 ","46,990,000 ", 10%,https://cdn.hoanghamobile.vn/default/Uploads/2024/09/10/iphone-16-pro-sa-mac-1.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,https://hoanghamobile.com/dien-thoai/iphone-16-pro-max-1tb,Hoanghamobile,https://hoanghamobile.com,2025-11-24,16:14:51
